country,year,Cyclicallyadjustedgovernmentp,BP_adj_exp,GeneralgovernmentdebttoGDPr,Inflationrate,Outputgap,Unemploymentrate,Shortterminterestrates,EPLregularworkers,EPLtemporaryworkers,Unemploymentbenefitsoverall,Unemploymentbenefitsreplaceme,Unemploymentbenefitsduration,Electricity,Gas,Telecommunications,PostalServices,RailTransport,AirTransport,RoadTransport,pop,emp,hc,rgdpna,rkna,ngov1rlc,ngov2rlc,ngov3rlc,ngov4rlc,ngov5rlc,ngov6rlc,ngov1seat,ngov2seat,ngov3seat,ngov4seat,ngov5seat,ngov6seat,nnum_gov_seats,yrsoffc,legelec,exelec,sep_re,sep_te,EU15
Australia,1965,,,,3.4055728,,1.3,,,,,,,,,,,,,,11.660398,4.526175,2.8554094,217763.42,667907.88,,,,,,,,,,,,,,,,,,,
Australia,1966,,,,3.2934132,,1.5,,,,,,,,,,,,,,11.880264,4.6893401,2.8776498,231225.16,702268.25,,,,,,,,,,,,,,,,,,,
Australia,1967,,,,3.4782609,,1.6,,,,,,,,,,,,,,12.101641,4.8360343,2.9000635,243103.17,735595.31,,,,,,,,,,,,,,,,,,,
Australia,1968,,,,2.5210084,,1.525,5.116667,,,,,,,,,,,,,12.335469,4.9541097,2.9226518,260524.23,776328.44,,,,,,,,,,,,,,,,,,,
Australia,1969,,,,3.2786885,,1.525,5.566667,,,,,,,,,,,,,12.618559,5.0926166,2.9454162,279529.03,818665.75,,,,,,,,,,,,,,,,,,,
Australia,1970,,,,3.4391534,,1.375,7.108333,0,0,0,0,0,0,0,0,0,0,0,0,12.90476,5.2857056,2.9683578,290615.19,858711.75,,,,,,,,,,,,,,,,,,,
Australia,1971,,,,6.1381074,,1.6,7.008333,0,0,0,0,0,0,0,0,0,0,0,0,13.150591,5.395494,2.9919927,301984.03,899450.06,,,,,,,,,,,,,,,,,,,
Australia,1972,,,,6.0240964,,2.25,5.083333,0,0,0,0,0,0,0,0,0,0,0,0,13.364238,5.4628572,3.0158162,309830.09,939622.81,3,3,,,,,46,20,,,,,66,,,,,,
Australia,1973,,,,9.0909091,,1.875,6.983333,0,0,0,0,0,0,0,0,0,0,0,0,13.55219,5.6039724,3.0398293,322520.88,984249.69,1,,,,,,67,,,,,,67,,,,,,
Australia,1974,,,,15.416667,,2.25,13.15833,0,0,0,0,0,0,0,0,0,0,0,0,13.7254,5.6992025,3.0640335,326833.63,1020507.1,1,,,,,,66,,,,,,66,,,,,,
Australia,1975,,,,15.162455,,4.425,8.525,0,0,0,0,0,0,0,0,0,0,0,0,13.892674,5.6747108,3.0884304,335297.88,1057063.1,1,,,,,,66,,,,,,66,3,0,0,,,
Australia,1976,,,,13.322884,,4.5,9.24,0,0,0,0,0,0,0,0,0,0,0,0,14.054956,5.7577434,3.1130216,347391.47,1093156.6,3,3,,,,,68,23,,,,,91,1,0,0,,,
Australia,1977,,,,12.30982,,5.65,10.2125,0,0,0,0,0,0,0,0,0,0,0,0,14.211657,5.8090372,3.1378088,350507.06,1129707.9,3,3,,,,,68,23,,,,,91,2,1,0,,,
Australia,1978,,,,8.0049261,,6.4333333,9.843333,0,0,0,0,0,0,0,0,0,0,0,0,14.368543,5.8258166,3.1627932,364714.63,1171159.4,3,3,,,,,67,19,,,,,86,3,0,0,,,
Australia,1979,,,,9.1220068,,6.2744355,9.773334,0,0,0,0,0,0,0,0,0,0,0,0,14.532401,5.9024863,3.1879766,375843.06,1214026.3,3,3,,,,,67,19,,,,,86,4,0,0,,,
Australia,1980,,,,10.135841,-.851,6.1127966,12.0275,0,0,0,0,0,0,0,0,0,0,0,0,14.708323,6.0621648,3.2133603,388464.47,1265025.6,3,3,,,,,67,19,,,,,86,5,1,0,,,1.1736693
Australia,1981,,,,9.487666,.613,5.7842505,15.03833,0,0,0,0,0,0,0,0,0,0,0,0,14.898019,6.1380033,3.2326047,401364.81,1320476.4,3,3,,,,,54,20,,,,,74,6,0,0,,,-.7217405
Australia,1982,,,,11.35182,-1.705,7.0374457,16.83417,0,0,0,0,0,0,0,0,0,0,0,0,15.101227,6.1222811,3.2519648,392411.31,1361994.4,3,3,,,,,53,20,,,,,73,7,0,0,,,-1.8129616
Australia,1983,,,,10.038911,-4.764,9.9583333,12.19917,0,0,0,0,0,0,0,0,0,0,0,0,15.318254,6.02668,3.2714405,410574.16,1403591,1,,,,,,75,,,,,,75,8,1,0,,,-2.0732392
Australia,1984,,,,3.960396,-2.609,8.9833333,12.1,0,0,0,0,0,0,0,0,0,0,0,0,15.548591,6.2362847,3.2910333,432128.03,1450604.4,1,,,,,,75,,,,,,75,1,1,0,,,-1.8955115
Australia,1985,,,,6.7346939,-1.307,8.275,15.9825,0,0,0,0,0,0,0,0,0,0,0,0,15.791043,6.452033,3.3107429,449797.41,1502554.3,1,,,,,,82,,,,,,82,2,0,0,1.1666666,.875,-1.6157563
Australia,1986,,,,9.0503505,-1.877,7.9333333,16.45167,0,0,0,0,0,0,0,0,0,0,0,0,16.047026,6.7371016,3.3305707,461424.19,1551088.6,1,,,,,,82,,,,,,82,3,0,0,1.1666666,.875,-1.38876
Australia,1987,,,,8.5330216,-1.016,7.9,13.75,0,0,0,0,0,0,0,0,0,0,0,0,16.314778,6.9192724,3.3505173,488172.56,1602604.3,1,,,,,,82,,,,,,82,4,1,0,1.1666666,.875,-.8629126
Australia,1988,,,,7.2159397,-.817,7.0083333,12.8,0,0,0,0,0,0,0,0,0,0,0,0,16.585905,7.1659455,3.3705833,507192.63,1663118,1,,,,,,85,,,,,,85,5,0,0,1.1666666,.875,.9151327
Australia,1989,1.1774713,,17.054,7.5339026,1.732,5.9583333,17.61167,0,0,0,0,0,0,0,0,0,0,0,0,16.849253,7.4582262,3.3907697,525092.63,1719259.1,1,,,,,,85,,,,,,85,6,0,0,1.1666666,.875,2.069957
Australia,1990,.9001565,,16.453,7.333022,.673,6.675,14.54333,0,0,0,0,0,0,0,0,0,0,0,0,17.096869,7.5562596,3.4110768,522855.97,1757742.3,1,,,,,,78,,,,,,78,7,1,0,1.1666666,.875,2.5559915
Australia,1991,.44101574,,21.655,3.1766754,-2.797,9.2916667,10.22583,0,0,0,0,0,0,0,0,0,0,1,0,17.325818,7.4536943,3.4236228,524967.88,1789441,1,,,,,,78,,,,,,78,8,0,0,1.1666666,.875,1.9247191
Australia,1992,-.58002595,,27.677,1.0122311,-3.031,10.491667,6.465833,0,0,0,0,0,0,0,1,0,0,0,0,17.538387,7.3704319,3.4362152,546214,1828571.9,1,,,,,,77,,,,,,77,1,0,0,1.1666666,.875,.8209417
Australia,1993,-.42035379,,30.724,1.7536534,-2.199,10.6,5.151667,0,0,0,0,0,0,0,0,0,0,1,0,17.738428,7.4226427,3.4488537,568306.88,1872377.6,1,,,,,,80,,,,,,80,2,1,0,1.1666666,.875,-1.6171243
Australia,1994,-.22545524,1,31.782,1.9696348,-.676,9.4583333,5.656667,0,0,0,0,0,0,0,0,0,0,0,0,17.932214,7.6368432,3.4615388,590364,1926239,1,,,,,,80,,,,,,80,3,0,0,1.1666666,.875,-1.1937762
Australia,1995,1.1720915,,31.238,4.6277666,-1.119,8.2166667,7.725833,0,0,0,0,0,0,0,0,0,0,0,0,18.12477,7.8890252,3.4742706,613667.38,1979578,1,,,,,,79,,,,,,79,4,0,0,1.1666666,.875,-1.1464214
Australia,1996,1.7207991,,29.418,2.6153846,-.704,8.2333333,7.151667,0,0,0,0,0,1,0,0,0,0,1,0,18.31834,8.0267859,3.4870493,637867.19,2036511.3,3,3,,,,,75,19,,,,,94,5,1,0,1.1666666,.875,-1.7073558
Australia,1997,2.4281055,,25.957,.22488756,-.074,8.2583333,5.395833,0,0,0,0,0,0,0,0,0,1,1,0,18.512971,8.0963459,3.4998748,666130.25,2103476.8,3,3,,,,,75,19,,,,,94,1,0,0,1.4166666,.875,-1.2846806
Australia,1998,3.3549611,,23.759,.86013463,.777,7.7583333,5.001667,0,0,0,0,0,0,1,1,0,0,0,0,18.709175,8.2079973,3.5127478,699465.06,2172300.8,3,3,,,,,75,19,,,,,94,2,1,0,1.4166666,.875,-.6301341
Australia,1999,3.6659738,,22.605,1.4831294,1.327,6.9666667,5.011667,0,0,0,0,0,0,0,0,0,1,0,0,18.906936,8.3704433,3.5256677,726548.5,2246753.5,3,3,,,,,64,16,,,,,80,3,0,0,1.4166666,.875,.0129019
Australia,2000,1.6973764,,19.561,4.4574351,.782,6.2780833,6.1775,0,0,0,0,0,0,0,0,0,0,0,0,19.107251,8.5629759,3.5386355,740561.19,2304406.5,3,3,,,,,64,16,,,,,80,4,0,0,1.4166666,.875,1.4131849
Australia,2001,.43724449,,17.177,4.4071354,-.202,6.7548333,4.899167,0,0,0,0,0,0,0,0,0,0,0,0,19.308681,8.7313967,3.5275118,769169.75,2372239.5,3,3,,,,,63,16,,,,,79,5,1,0,1.4166666,.875,1.4066721
Australia,2002,1.7020906,,15.058,2.9815745,.367,6.3689167,4.746666,0,0,0,0,0,0,0,0,0,0,0,0,19.514385,8.9202328,3.5164235,792854.44,2453502,3,3,,,,,69,13,,,,,82,6,0,0,1.4166666,.875,.445275
Australia,2003,2.6698175,,13.228,2.732596,-.345,5.9284083,4.895833,0,0,0,0,0,0,0,0,0,0,0,0,19.735255,9.1136827,3.5053697,825810.06,2542018,3,3,,,,,69,13,,,,,82,7,0,0,1.4166666,.875,-.4060096
Australia,2004,1.2607579,,11.964,2.3432552,.444,5.3967333,5.478333,0,0,0,0,0,0,0,0,0,0,0,0,19.985475,9.3145342,3.4943507,852372,2635865.3,3,3,,,,,69,13,,,,,82,8,1,0,1.4166666,.875,.094016
Australia,2005,1.8591005,,10.899,2.6918317,.21,5.0338917,5.644166,0,0,0,0,0,0,1,0,0,0,0,0,20.274282,9.6035013,3.4833665,877863.63,2742159.5,3,3,,,,,74,12,,,,,86,9,0,0,1.4166666,.875,.3849489
Australia,2006,2.2801088,,9.977,3.5552877,-.11,4.7852333,5.988333,1,0,0,0,0,0,0,0,0,0,0,0,20.606228,9.9422245,3.4724166,910872.56,2852353.5,3,3,,,,,74,12,,,,,86,10,0,0,1.4166666,.875,2.0544448
Australia,2007,1.0375199,-1,9.702,2.3276113,.938,4.3791583,6.6675,0,0,0,0,0,0,0,1,0,0,0,0,20.975949,10.304326,3.4615014,944595.75,2974337.5,3,3,,,,,74,12,,,,,86,11,1,0,1.1666666,.875,3.5995677
Australia,2008,-.94207493,,11.768,4.3502985,.646,4.2343333,6.973333,0,0,0,0,0,0,0,0,0,0,1,0,21.370348,10.63265,3.4506202,960954.38,3093449,1,,,,,,83,,,,,,83,1,0,0,1.1666666,.875,2.744669
Australia,2009,-4.4223924,,16.738,1.7711172,-.455,5.5603833,3.434167,0,0,0,0,0,0,0,0,0,0,0,0,21.77069,10.849848,3.4397736,979811.88,3206928.5,1,,,,,,83,,,,,,83,2,0,0,1.1666666,.875,-2.6575181
Australia,2010,-3.8374826,,20.472,2.91834,-.878,5.2133333,4.683333,-1,0,0,0,0,0,0,0,0,0,0,0,22.162863,11.100516,3.4289608,1002558,3324224,1,,,,,,83,,,,,,83,3,1,0,1.6666666,.875,-1.2895555
Australia,2011,-3.1270809,,24.076,3.3038502,-1.009,5.081,4.848333,0,0,0,0,0,0,0,0,0,0,0,0,22.542371,11.391502,3.442167,1039931.5,3461364.8,1,,,,,,72,,,,,,72,1,0,0,1.6666666,.875,-.4014437
Australia,2012,-2.6859009,1,27.669,1.7627802,-.131,5.220675,3.728333,0,0,0,0,0,0,0,0,0,0,0,0,22.911375,11.61517,3.4554243,1066054,3598123,1,,,,,,72,,,,,,72,2,0,0,1.6666666,.875,-1.6306719
Australia,2013,-1.0558536,,30.625,2.4498886,-.731,5.6557417,2.78,0,0,0,0,0,0,0,0,0,0,0,0,23.270465,11.794414,3.4687328,1093192,3727205,1,,,,,,72,,,,,,72,3,1,0,1.6666666,.875,-2.20188
Australia,2014,-.61819001,,34.073,2.4879227,-.852,6.074125,2.678333,,,,,,,,,,,,,23.622353,11.96684,3.4820924,1123096.6,3845480.5,3,3,,,,,80,10,,,,,90,1,0,0,,,-1.4514184
Australia,2015,.13016495,,37.779,1.5083667,-.976,6.0579461,2.255833,,,,,,,,,,,,,,,,,,3,3,,,,,80,10,,,,,90,2,0,0,,,-.1802291
Australia,2016,-.21188586,,40.595,1.2769909,-.835,5.7115117,1.988333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.817706
Australia,2017,.90496707,,41.592,1.9486474,-1.104,5.596315,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2807965
Austria,1965,,,,4.9309065,,2.65,,,,,,,,,,,,,,7.3124281,3.3972213,2.5213754,97845.078,310782.13,,,,,,,,,,,,,,,,,,,
Austria,1966,,,,2.0548178,,2.5166667,,,,,,,,,,,,,,7.3638975,3.3690138,2.545542,103304.25,327231.44,,,,,,,,,,,,,,,,,,,
Austria,1967,,,,3.974672,,2.6666667,,,,,,,,,,,,,,7.4191434,3.3140948,2.5666821,106663.73,341746.63,,,,,,,,,,,,,,,,,,,
Austria,1968,,,,2.7648606,,2.95,,,,,,,,,,,,,,7.4577678,3.2705925,2.5832193,111283.03,357279.88,,,,,,,,,,,,,,,,,,,
