	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	ly1	ly1	ly2	ly3	ly4	ly5	ly1	ly2	ly3	ly4	ly5
											
prod_ref	0.005**	0.001	0.001	0.001	-0.000	0.001	0.000	0.001	0.001	-0.000	0.001
	(0.002)	(0.001)	(0.002)	(0.003)	(0.002)	(0.003)	(0.001)	(0.003)	(0.002)	(0.002)	(0.003)
lab_ref		-0.001	-0.004*	-0.000	-0.001	0.000	-0.002	-0.005**	-0.002	-0.002	-0.002
		(0.002)	(0.002)	(0.002)	(0.003)	(0.005)	(0.002)	(0.002)	(0.001)	(0.003)	(0.006)
outpg	-0.044***	-0.095***	-0.207***	-0.291***	-0.352***	-0.392***	-0.093***	-0.203***	-0.289***	-0.356***	-0.403***
	(0.003)	(0.010)	(0.012)	(0.010)	(0.012)	(0.017)	(0.010)	(0.013)	(0.011)	(0.014)	(0.022)
dly		0.662***	0.933***	1.075***	1.040***	0.776***	0.654***	0.908***	1.046***	1.027***	0.802***
		(0.103)	(0.145)	(0.139)	(0.129)	(0.214)	(0.097)	(0.129)	(0.126)	(0.112)	(0.188)
L.dly		0.158***	0.558***	0.817***	0.885***	1.070***	0.151***	0.549***	0.804***	0.890***	1.068***
		(0.038)	(0.049)	(0.092)	(0.080)	(0.138)	(0.039)	(0.045)	(0.092)	(0.080)	(0.175)
L2.dly		0.245***	0.389***	0.463***	0.646***	0.778***	0.248***	0.383***	0.462***	0.649***	0.772***
		(0.037)	(0.058)	(0.062)	(0.067)	(0.156)	(0.037)	(0.055)	(0.057)	(0.087)	(0.186)
L3.dly		0.113**	0.287***	0.504***	0.666***	0.748***	0.105**	0.278***	0.498***	0.648***	0.733***
		(0.044)	(0.066)	(0.090)	(0.142)	(0.149)	(0.039)	(0.063)	(0.099)	(0.150)	(0.166)
gcf_gdp		0.099	0.138	0.025	-0.195	-0.301	0.098	0.127	-0.002	-0.211	-0.272
		(0.080)	(0.151)	(0.146)	(0.183)	(0.227)	(0.068)	(0.128)	(0.134)	(0.172)	(0.197)
g_hc		0.120	0.202	-0.033	0.202	0.551	0.055	0.097	0.053	0.600	1.506**
		(0.193)	(0.324)	(0.385)	(0.440)	(0.432)	(0.226)	(0.392)	(0.427)	(0.501)	(0.639)
Constant	0.016***	-0.005**	-0.007	0.000	0.009	0.018*	-0.004*	-0.005	0.001	0.007	0.015
	(0.001)	(0.003)	(0.005)	(0.007)	(0.008)	(0.010)	(0.002)	(0.005)	(0.006)	(0.008)	(0.014)
											
Observations	694	690	665	640	615	590	690	665	640	615	590
R-squared	0.149	0.626	0.800	0.878	0.879	0.836	0.625	0.800	0.880	0.877	0.821
Number of identifier	25										
Number of groups		25	25	25	25	25	25	25	25	25	25
Pesaran CD-test statistic		65.97	66.92	59.67	56.48	50.49	67.39	68.38	61.41	61.67	66.20
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
