	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	ly1	ly1	ly2	ly3	ly4	ly5	ly1	ly2	ly3	ly4	ly5	ly1	ly2	ly3	ly4	ly5
																
prod_ref	0.006**	-0.003*	-0.004	-0.004	0.002	0.009*	0.000	0.001	0.003	0.003	0.004	-0.007*	-0.003	-0.001	-0.011*	-0.010*
	(0.002)	(0.001)	(0.003)	(0.003)	(0.002)	(0.005)	(0.002)	(0.003)	(0.003)	(0.002)	(0.003)	(0.004)	(0.002)	(0.003)	(0.005)	(0.005)
lab_ref	-0.001	0.001	-0.003	0.004	0.009**	0.007	-0.001	-0.005**	-0.000	-0.001	0.004	-0.016**	-0.018**	-0.009	-0.015	-0.009
	(0.004)	(0.003)	(0.002)	(0.003)	(0.004)	(0.006)	(0.002)	(0.002)	(0.003)	(0.004)	(0.006)	(0.007)	(0.007)	(0.007)	(0.011)	(0.012)
Constant	0.019***	0.004	-0.012	-0.002	0.040	0.028	-0.005**	-0.010*	-0.006	0.000	0.011	0.004	0.013*	0.022***	0.020**	0.027
	(0.001)	(0.007)	(0.014)	(0.025)	(0.025)	(0.036)	(0.002)	(0.005)	(0.008)	(0.009)	(0.011)	(0.010)	(0.007)	(0.006)	(0.009)	(0.020)
																
Observations	430	104	88	80	79	79	430	421	404	386	374	109	109	109	103	90
R-squared	0.017	0.735	0.886	0.909	0.890	0.786	0.584	0.763	0.860	0.875	0.851	0.699	0.903	0.950	0.950	0.947
Number of identifier	25															
Number of groups		24	23	19	18	18	25	25	25	25	25	23	23	23	23	23
Standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
