	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	ly1	ly1	ly2	ly3	ly4	ly5	ly1	ly2	ly3	ly4	ly5	ly1	ly2	ly3	ly4	ly5
																
prod_ref	0.006**	-0.001	-0.004	-0.003	0.000	0.004	0.001	0.001	0.002	0.002	0.002	-0.007*	-0.001	0.001	-0.009**	-0.013**
	(0.002)	(0.002)	(0.003)	(0.002)	(0.002)	(0.005)	(0.002)	(0.003)	(0.002)	(0.002)	(0.003)	(0.004)	(0.003)	(0.003)	(0.004)	(0.006)
lab_ref	-0.001	-0.000	-0.006	0.006	0.023***	0.033***	-0.002	-0.006**	-0.002	-0.001	0.002	-0.014**	-0.015*	-0.010*	-0.005	0.001
	(0.004)	(0.003)	(0.005)	(0.004)	(0.005)	(0.011)	(0.002)	(0.003)	(0.003)	(0.004)	(0.007)	(0.007)	(0.008)	(0.005)	(0.007)	(0.013)
Constant	0.019***	0.002	-0.003	-0.019	0.016	-0.001	-0.002	-0.005	-0.007	-0.004	0.002	-0.007	0.001	0.023**	0.028**	0.009
	(0.001)	(0.005)	(0.013)	(0.028)	(0.015)	(0.030)	(0.002)	(0.006)	(0.007)	(0.009)	(0.013)	(0.009)	(0.007)	(0.009)	(0.010)	(0.018)
																
Observations	430	104	88	80	79	79	430	421	404	386	374	109	109	109	103	90
R-squared	0.017	0.712	0.878	0.933	0.947	0.882	0.578	0.755	0.858	0.872	0.837	0.664	0.887	0.938	0.934	0.931
Number of identifier	25															
Number of groups		24	23	19	18	18	25	25	25	25	25	23	23	23	23	23
Standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
